t1,t2,t,AVR_SET,IA,PHI_IA,UA,PHI_UA,IB,PHI_IB,UB,PHI_UB,IC,PHI_IC,UC,PHI_UC,F,dF,f0,dF1,PSS_OUT,PHI_Eq,MECH_EQ,MECH_PHI_EQ,UFD_SET,HYDRO_DOOR_SET,Q,P,SPEED
1:21:37,0,0,102.309,164.797,67.517,10.62,-143.446,164.797,-172.151,10.596,-23.526,160.219,-52.288,10.612,96.624,49.418,-0.582,50,0.004,0,30.99,30.99,-30,123.153,0.117,2.682,-4.48,99.237
1:21:37,40,0.04,102.309,164.797,59.725,10.602,-151.925,169.374,179.942,10.595,-31.662,164.797,-60.023,10.629,88.201,49.42,-0.58,50,0.004,0,27.821,27.821,-30,123.592,0.12,2.825,-4.566,99.237
1:21:37,80,0.08,102.309,151.064,51.647,10.588,-160.233,151.064,171.634,10.616,-39.969,151.064,-68.274,10.622,79.607,49.418,-0.582,50,-0.003,0,18.577,18.577,-30,123.592,0.12,2.568,-4.138,99.229
1:21:37,120,0.12,102.309,151.064,42.536,10.59,-168.427,155.641,162.696,10.63,-48.449,151.064,-76.868,10.605,71.184,49.418,-0.582,50,-0.005,0,15.878,15.878,-30,123.592,0.095,2.568,-4.195,99.229
1:21:37,160,0.16,102.309,151.064,34.515,10.608,-176.792,151.064,154.961,10.626,-56.986,151.064,-85.348,10.592,62.934,49.418,-0.582,50,0.003,0,22.703,50,-30,123.409,0.12,2.54,-4.138,99.229
1:21:37,200,0.2,102.309,137.331,27.239,10.626,174.786,137.331,147.101,10.603,-65.409,137.331,-93.14,10.601,54.683,49.42,-0.58,50,0.003,0,26.081,26.081,-30,123.702,0.084,2.397,-3.795,99.229
1:21:37,240,0.24,102.313,155.641,17.785,10.614,166.249,155.641,137.476,10.596,-73.659,155.641,-102.25,10.622,46.375,49.42,-0.58,50,0.001,0,16.355,16.355,-30,124.324,0.084,2.597,-4.252,99.237
1:21:37,280,0.28,102.309,164.797,9.19,10.599,157.826,164.797,128.824,10.608,-81.853,164.797,-110.844,10.625,37.896,49.42,-0.58,50,-0.001,0,28.579,28.579,-30,124.544,0.084,2.739,-4.566,99.229
1:21:37,320,0.32,102.309,160.219,1.398,10.587,149.508,160.219,121.662,10.625,-90.218,160.219,-118.522,10.614,29.358,49.418,-0.582,50,0,0,19.621,19.621,-30,124.398,0.117,2.682,-4.309,99.237
1:21:37,360,0.36,102.313,151.064,-7.139,10.601,141.314,151.064,112.667,10.628,-98.755,151.064,-126.773,10.599,20.993,49.418,-0.582,50,0.002,0,30.854,30.854,-30,124.031,0.091,2.568,-4.195,99.237
1:21:37,400,0.4,102.309,151.064,-15.963,10.616,132.949,155.641,104.015,10.615,-107.235,155.641,-135.653,10.594,12.743,49.42,-0.58,50,0.003,0,4.299,4.299,-30,124.141,0.084,2.568,-4.223,99.229
1:21:37,440,0.44,102.309,146.486,-23.526,10.626,124.412,146.486,96.223,10.591,-115.6,146.486,-143.904,10.611,4.492,49.42,-0.58,50,0.003,0,6.038,6.038,-30,123.848,0.084,2.511,-4.052,99.237
1:21:37,480,0.48,102.309,132.753,-31.604,10.606,115.875,132.753,88.259,10.605,-123.793,132.753,-151.353,10.621,-3.93,49.416,-0.584,50,-0.002,0,21.501,21.501,-30,123.519,0.084,2.311,-3.653,99.237
1:21:37,520,0.52,102.309,155.641,-40.772,10.589,107.625,155.641,78.862,10.61,-132.044,160.219,-161.035,10.624,-12.467,49.418,-0.582,50,0,0,25.424,25.424,-30,123.446,0.124,2.625,-4.338,99.237
1:21:37,560,0.56,102.309,160.219,-49.194,10.59,99.431,160.219,70.44,10.625,-140.524,160.219,-169.343,10.607,-20.89,49.418,-0.582,50,0,0,29.344,29.344,-30,123.189,0.084,2.711,-4.452,99.244
1:21:37,600,0.6,102.309,155.641,-57.101,10.601,91.123,155.641,62.934,10.622,-149.061,155.641,-176.906,10.595,-29.198,49.42,-0.58,50,0.002,0,17.057,17.057,-30,123.116,0.084,2.654,-4.252,99.237
1:21:37,640,0.64,102.313,160.219,-65.982,10.619,82.644,160.219,54.225,10.609,-157.483,160.219,174.155,10.596,-37.277,49.42,-0.58,50,0.002,0,29.65,29.65,-30,123.153,0.12,2.682,-4.395,99.237
1:21:37,680,0.68,102.313,151.064,-74.576,10.614,74.106,151.064,45.688,10.595,-165.791,151.064,165.561,10.615,-45.642,49.418,-0.582,50,-0.001,0,5.523,5.523,-30,122.969,0.12,2.54,-4.166,99.237
1:21:37,720,0.72,102.309,141.908,-81.967,10.594,65.627,141.908,37.781,10.606,-173.984,141.908,158.113,10.623,-54.122,49.416,-0.584,50,-0.003,0,29.122,29.122,-30,122.64,0.084,2.425,-3.881,99.229
